GRAN PREMIO PRIMAVERA A MASER | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE | 2026-04-26 | x1 | no_match
GRAN PREMIO PRIMAVERA A MASER DONNE ESORDIENTI PRIMO ANNO | 2026-04-26 | x1 | no_match
GRAN PREMIO PRIMAVERA A MASER DONNE ESORDIENTI SECONDO ANNO | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE DONNE ESORDIENTI PRIMO ANNO | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE DONNE ESORDIENTI SECONDO ANNO | 2026-04-26 | x1 | no_match
79 GRAN PREMIO DELLA LIBERAZIONE UNDER23 | 2026-04-25 | x1 | no_match
71 COPPA MONTES GRAN PREMIO DELLA RESISTENZA | 2026-04-25 | x1 | no_match
GRAN PREMIO DELLA LIBERAZIONE DONNE | 2026-04-25 | x1 | no_match
50 GRAN PREMIO LIBERAZIONE CITTA' DI MASSA | 2026-04-25 | x1 | no_match
79 COPPA CADUTI NERVIANESI | 2026-04-25 | x1 | no_match
47 COPPA ARDIGO' | 2026-04-25 | x1 | no_match
1 TROFEO DELLA LIBERAZIONE COMUNE DI COLLESALVETTI | 2026-04-25 | x1 | no_match
62 TROFEO CADUTI E DISPERSI COMUNE DI PASSIRANO | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE 6 MEMORIAL GIANCARLO CERUTI | 2026-04-25 | x1 | no_match
33 MEMORIAL LORIS ANGELI | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE DONNE ESORDIENTI PRIMO ANNO | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE DONNE ESORDIENTI SECONDO ANNO | 2026-04-25 | x1 | no_match
54 TROFEO PRUGNO FIORITO DONNE ESORDIENTI PRIMO ANNO | 2026-04-25 | x1 | no_match
54 TROFEO PRUGNO FIORITO DONNE ESORDIENTI SECONDO ANNO | 2026-04-25 | x1 | no_match
49 GRAN PREMIO LIBERAZIONE | 2026-04-25 | x1 | no_match
4 PALIO VINI CLASSICO PEDEMONTE | 2026-04-25 | x3 | keyword_match
2 MEMORIAL TOTO' LONGO CAMPIONATO REGIONALE | 2026-04-25 | x2 | keyword_match
9 TROFEO BCC BRIANZA E LAGHI | 2026-04-25 | x1 | no_match
68 TROFEO DELLA VITTORIA CAMPIONATO TRENTINO | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE | 2026-04-25 | x1 | no_match
COPPA LIBERAZIONE 5 TROFEO I GREPPI | 2026-04-25 | x1 | no_match
22 GRAN PREMIO DELLA LIBERAZIONE STRADE BIANCHE | 2026-04-25 | x1 | no_match
2 MEMORIAL TOTO' LONGO GARA UNICA | 2026-04-25 | x1 | no_match
2 MEMORIAL TOTO' LONGO GARA UNICA | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE GARA UNICA | 2026-04-25 | x1 | no_match
CRITERIUM LIBERAZIONE GARA UNICA | 2026-04-25 | x1 | no_match
COPPA LIBERAZIONE 5 TROFEO I GREPPI GARA UNICA | 2026-04-25 | x1 | no_match
COPPA LIBERAZIONE 5 TROFEO I GREPPI GARA UNICA | 2026-04-25 | x1 | no_match
22 GRAN PREMIO DELLA LIBERAZIONE GARA UNICA | 2026-04-25 | x1 | no_match
22 GRAN PREMIO DELLA LIBERAZIONE GARA UNICA | 2026-04-25 | x1 | no_match
49 GRAN PREMIO LIBERAZIONE | 2026-04-25 | x1 | no_match
49 GRAN PREMIO LIBERAZIONE | 2026-04-25 | x1 | no_match
9 TROFEO BCC BRIANZA E LAGHI | 2026-04-25 | x1 | no_match
9 TROFEO BCC BRIANZA E LAGHI | 2026-04-25 | x1 | no_match
7 GRAN PREMIO DI CRENNA | 2026-04-25 | x1 | no_match
7 GRAN PREMIO DI CRENNA | 2026-04-25 | x1 | no_match
11 TROFEO IMPRESA COSTRUZIONI BASSO SARCA I C B | 2026-04-25 | x1 | no_match
11 TROFEO IMPRESA COSTRUZIONI BASSO SARCA I C B | 2026-04-25 | x1 | no_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
CAMPIONATO REGIONALE CRONOMETRO MEMORIAL MARIO CERVO | 2026-04-25 | x2 | keyword_match
LIBERAZIONE JUNIOR | 2026-04-24 | x1 | no_match
LIBERAZIONE ALLIEVI | 2026-04-24 | x1 | no_match
LIBERAZIONE ESORDIENTI GARA UNICA | 2026-04-24 | x1 | no_match
LIBERAZIONE ESORDIENTI GARA UNICA | 2026-04-24 | x1 | no_match
30 GIRO DELLA PROVINCIA DI BIELLA 84 TORINO BIELLA | 2026-04-19 | x1 | no_match
3 TROFEO PROTECH MEMORIAL RODOLFO BARDELLONI | 2026-04-19 | x1 | no_match
71 GRAN PREMIO PRETOLA PROVA VALIDA CAMPIONATO REGIONALE | 2026-04-19 | x2 | keyword_match
1 GRAN PREMIO JUNIORES SANT'ANNA | 2026-04-19 | x1 | no_match
COPPA SPORTIVI COMUNE DI TRICESIMO | 2026-04-19 | x1 | no_match
23 GIRO DELLA VALDIGREVE | 2026-04-19 | x1 | no_match
5 TROFEO CITTA' DI GOSSOLENGO | 2026-04-19 | x1 | no_match
PIANEZZE GIRLS' ROAD CLASSIC | 2026-04-19 | x3 | keyword_match
COPPA STRADE BIANCHE DI GUSSOLA | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 DONNE ESORDIENTI PRIMO ANNO | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 DONNE ESORDIENTI SECONDO ANNO | 2026-04-19 | x1 | no_match
PIANEZZE GIRLS' ROAD CLASSIC DONNE ESORDIENTI PRIMO ANNO | 2026-04-19 | x3 | keyword_match
PIANEZZE GIRLS' ROAD CLASSIC DONNE ESORDIENTI SECONDO ANNO | 2026-04-19 | x3 | keyword_match
COPPA STRADE BIANCHE DI GUSSOLA DONNE ESORDIENTI PRIMO ANNO | 2026-04-19 | x1 | no_match
COPPA STRADE BIANCHE DI GUSSOLA DONNE ESORDIENTI SECONDO ANNO | 2026-04-19 | x1 | no_match
62 GRAN PREMIO CALZIFICI E CALZATURIFICI STABBIESI | 2026-04-19 | x1 | no_match
53 TROFEO DELLA LIBERAZIONE | 2026-04-19 | x1 | no_match
2 MEMORIAL EDOARDO BERNARDI | 2026-04-19 | x1 | no_match
COPPA STRADE BIANCHE DI GUSSOLA | 2026-04-19 | x1 | no_match
1 TROFEO FERRUCCIO FRANCHI A M | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 | 2026-04-19 | x1 | no_match
53 EDIZIONE CIRCUITO SAN GIUSEPPE | 2026-04-19 | x1 | no_match
TROFEO CITTA' DI ROSOLINI | 2026-04-19 | x1 | no_match
17 MEMORIAL ANTONJ ORSANI GARA UNICA | 2026-04-19 | x1 | no_match
17 MEMORIAL ANTONJ ORSANI GARA UNICA | 2026-04-19 | x1 | no_match
4 GRAN PREMIO SANT'ANNA GARA UNICA | 2026-04-19 | x1 | no_match
4 GRAN PREMIO SANT'ANNA GARA UNICA | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 GARA UNICA | 2026-04-19 | x1 | no_match
TROFEO VALLE D'OFANTO 2026 GARA UNICA | 2026-04-19 | x1 | no_match
53 EDIZIONE CIRCUITO SAN GIUSEPPE GARA UNICA | 2026-04-19 | x1 | no_match
53 EDIZIONE CIRCUITO SAN GIUSEPPE GARA UNICA | 2026-04-19 | x1 | no_match
TROFEO CITTA' DI ROSOLINI GARA UNICA | 2026-04-19 | x1 | no_match
TROFEO CITTA' DI ROSOLINI GARA UNICA | 2026-04-19 | x1 | no_match
2 MEMORIAL GRAZIANO ROSSI | 2026-04-19 | x1 | no_match
2 MEMORIAL GRAZIANO ROSSI | 2026-04-19 | x1 | no_match
6 MEMORIAL SERAFINO ASTOLFO | 2026-04-19 | x1 | no_match
6 MEMORIAL SERAFINO ASTOLFO | 2026-04-19 | x1 | no_match
53 TROFEO DELLA LIBERAZIONE | 2026-04-19 | x1 | no_match
53 TROFEO DELLA LIBERAZIONE | 2026-04-19 | x1 | no_match
COPPA STRADE BIANCHE DI GUSSOLA | 2026-04-19 | x1 | no_match
COPPA STRADE BIANCHE DI GUSSOLA | 2026-04-19 | x1 | no_match
GRAN PREMIO GAETANO E MARIO ARRIGONI | 2026-04-19 | x1 | no_match
GRAN PREMIO GAETANO E MARIO ARRIGONI | 2026-04-19 | x1 | no_match
TROFEO BUSSOLATI ASFALTI | 2026-04-18 | x1 | no_match
GRAN PREMIO DI VIGONZA STRADE DE GIARA | 2026-04-18 | x1 | no_match
CRONOGUSSOLA DONNE ESORDIENTI PRIMO ANNO | 2026-04-18 | x1 | no_match
CRONOGUSSOLA DONNE ESORDIENTI SECONDO ANNO | 2026-04-18 | x1 | no_match
CRONOGUSSOLA | 2026-04-18 | x1 | no_match
CRONOGUSSOLA | 2026-04-18 | x1 | no_match
CRONOGUSSOLA | 2026-04-18 | x1 | no_match
CRONOGUSSOLA | 2026-04-18 | x1 | no_match
